feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
227,V1_QRSA,0.000000,0.000000,0,1.000000,0.233277,105,1.000000,0.233277,False,True,True
89,V1_S_wid,0.000000,0.000000,0,1.000000,1.000000,1,1.000000,1.000000,False,True,True
64,AVL_R_wid,0.000000,0.000000,0,1.000000,0.806349,105,1.000000,0.806349,False,True,True
13,J_angle,0.500000,0.463722,91,0.000000,0.000000,0,0.500000,0.463722,True,False,True
90,V1_Rp_wid,0.000000,0.000000,0,0.476190,0.230209,101,0.476190,0.230209,False,True,True
223,V1_Rp_amp,0.117647,0.111686,91,0.500000,0.500000,1,0.382353,0.388314,False,False,True
256,V4_T_amp,0.529412,0.500970,91,0.166667,0.152792,105,0.362745,0.348177,False,False,True
189,AVR_JJ_amp,0.352941,0.278659,89,0.000000,0.000000,0,0.352941,0.278659,True,False,True
268,V5_QRSTA,0.352941,0.335057,91,0.000000,0.000000,0,0.352941,0.335057,True,False,True
233,V2_Rp_amp,0.000000,0.000000,0,0.333333,0.093391,105,0.333333,0.093391,False,True,True
249,V4_JJ_amp,0.500000,0.336170,91,0.166667,0.152030,105,0.333333,0.184140,False,False,True
44,DIII_N_defl,0.000000,0.000000,0,0.333333,0.251718,97,0.333333,0.251718,False,True,True
0,Age,0.000000,0.000000,0,0.333333,0.223356,105,0.333333,0.223356,False,True,True
14,Heart_rate,0.117647,0.110429,91,0.444444,0.043098,105,0.326797,0.067330,False,False,True
166,DI_T_amp,0.294118,0.279573,91,0.000000,0.000000,0,0.294118,0.279573,True,False,True
10,T_angle,0.533333,0.497802,91,0.285714,0.258765,105,0.247619,0.239037,False,False,True
7,T_int,0.000000,0.000000,0,0.240000,0.233077,4,0.240000,0.233077,False,True,True
196,AVR_T_amp,0.235294,0.235294,5,0.000000,0.000000,0,0.235294,0.235294,True,False,True
169,DII_JJ_amp,0.235294,0.220440,88,0.000000,0.000000,0,0.235294,0.220440,True,False,True
211,AVF_R_amp,0.235294,0.219138,89,0.000000,0.000000,0,0.235294,0.219138,True,False,True
275,V6_P_amp,0.235294,0.224018,91,0.000000,0.000000,0,0.235294,0.224018,True,False,True
199,AVL_JJ_amp,0.000000,0.000000,0,0.222222,0.042854,98,0.222222,0.042854,False,True,True
168,DI_QRSTA,0.000000,0.000000,0,0.200000,0.200000,1,0.200000,0.200000,False,True,True
205,AVL_P_amp,0.176471,0.176471,4,0.000000,0.000000,0,0.176471,0.176471,True,False,True
198,AVR_QRSTA,0.176471,0.166559,91,0.000000,0.000000,0,0.176471,0.166559,True,False,True
237,V2_QRSA,0.176471,0.167558,88,0.000000,0.000000,0,0.176471,0.167558,True,False,True
80,AVF_N_defl,0.176471,0.163327,91,0.000000,0.000000,0,0.176471,0.163327,True,False,True
171,DII_R_amp,0.176471,0.166433,84,0.000000,0.000000,0,0.176471,0.166433,True,False,True
229,V2_JJ_amp,0.176471,0.168429,89,0.000000,0.000000,0,0.176471,0.168429,True,False,True
92,V1_N_defl,0.176471,0.167852,91,0.000000,0.000000,0,0.176471,0.167852,True,False,True
247,V3_QRSA,0.176471,0.167951,84,0.000000,0.000000,0,0.176471,0.167951,True,False,True
258,V4_QRSTA,0.176471,0.168498,91,0.000000,0.000000,0,0.176471,0.168498,True,False,True
60,AVR_Diph_P,0.000000,0.000000,0,0.166667,0.040196,102,0.166667,0.040196,False,True,True
259,V5_JJ_amp,0.411765,0.389284,91,0.250000,0.077851,104,0.161765,0.311432,False,False,True
104,V2_N_defl,0.176471,0.168410,90,0.333333,0.043983,104,0.156863,0.124427,False,False,True
12,QRST_angle,0.000000,0.000000,0,0.150000,0.116509,105,0.150000,0.116509,False,True,True
178,DII_QRSTA,0.000000,0.000000,0,0.150000,0.116847,100,0.150000,0.116847,False,True,True
236,V2_T_amp,0.235294,0.166630,89,0.086957,0.074554,96,0.148338,0.092076,False,False,True
75,AVF_Q_wid,0.000000,0.000000,0,0.142857,0.142857,1,0.142857,0.142857,False,True,True
179,DIII_JJ_amp,0.235294,0.211329,3,0.095238,0.077739,96,0.140056,0.133590,False,False,True
181,DIII_R_amp,0.176471,0.176471,2,0.038462,0.038462,1,0.138009,0.138009,False,False,True
32,DII_N_defl,0.117647,0.107161,91,0.250000,0.250000,1,0.132353,0.142839,False,False,True
210,AVF_Q_amp,0.000000,0.000000,0,0.130435,0.077751,103,0.130435,0.077751,False,True,True
175,DII_P_amp,0.117647,0.108454,91,0.000000,0.000000,0,0.117647,0.108454,True,False,True
219,V1_JJ_amp,0.117647,0.112213,89,0.000000,0.000000,0,0.117647,0.112213,True,False,True
242,V3_S_amp,0.117647,0.108454,91,0.000000,0.000000,0,0.117647,0.108454,True,False,True
197,AVR_QRSA,0.117647,0.117647,2,0.000000,0.000000,0,0.117647,0.117647,True,False,True
206,AVL_T_amp,0.000000,0.000000,0,0.115385,0.107692,2,0.115385,0.107692,False,True,True
215,AVF_P_amp,0.000000,0.000000,0,0.100000,0.100000,2,0.100000,0.100000,False,True,True
102,V2_Rp_wid,0.000000,0.000000,0,0.100000,0.100000,1,0.100000,0.100000,False,True,True
248,V3_QRSTA,0.000000,0.000000,0,0.100000,0.100000,1,0.100000,0.100000,False,True,True
228,V1_QRSTA,0.176471,0.176471,1,0.090909,0.073206,9,0.085561,0.103264,False,False,True
225,V1_P_amp,0.000000,0.000000,0,0.083333,0.080128,2,0.083333,0.080128,False,True,True
241,V3_R_amp,0.000000,0.000000,0,0.083333,0.076368,98,0.083333,0.076368,False,True,True
216,AVF_T_amp,0.176471,0.114075,86,0.100000,0.100000,2,0.076471,0.014075,False,False,True
185,DIII_P_amp,0.176471,0.165283,85,0.100000,0.100000,2,0.076471,0.065283,False,False,True
193,AVR_Rp_amp,0.058824,0.058824,2,0.000000,0.000000,0,0.058824,0.058824,True,False,True
65,AVL_S_wid,0.058824,0.058824,6,0.000000,0.000000,0,0.058824,0.058824,True,False,True
111,V3_Q_wid,0.058824,0.058824,4,0.000000,0.000000,0,0.058824,0.058824,True,False,True
77,AVF_S_wid,0.058824,0.056173,90,0.000000,0.000000,0,0.058824,0.056173,True,False,True
276,V6_T_amp,0.294118,0.279374,86,0.350000,0.255102,7,0.055882,0.024272,False,False,True
42,DIII_Rp_wid,0.055556,0.055556,2,0.000000,0.000000,0,0.055556,0.055556,True,False,True
266,V5_T_amp,0.352941,0.336166,90,0.300000,0.231898,102,0.052941,0.104268,False,False,True
100,V2_R_wid,0.000000,0.000000,0,0.050000,0.046905,4,0.050000,0.046905,False,True,False
220,V1_Q_amp,0.000000,0.000000,0,0.050000,0.039135,99,0.050000,0.039135,False,True,False
99,V2_Q_wid,0.000000,0.000000,0,0.050000,0.039018,102,0.050000,0.039018,False,True,False
27,DII_Q_wid,0.000000,0.000000,0,0.050000,0.046739,2,0.050000,0.046739,False,True,False
3,Weight,0.000000,0.000000,0,0.050000,0.045833,2,0.050000,0.045833,False,True,False
24,DI_Diph_P,0.000000,0.000000,0,0.050000,0.039232,103,0.050000,0.039232,False,True,False
270,V6_Q_amp,0.000000,0.000000,0,0.050000,0.050000,1,0.050000,0.050000,False,True,False
125,V4_S_wid,0.000000,0.000000,0,0.047619,0.043810,2,0.047619,0.043810,False,True,False
231,V2_R_amp,0.000000,0.000000,0,0.047619,0.043810,2,0.047619,0.043810,False,True,False
192,AVR_S_amp,0.000000,0.000000,0,0.043478,0.038782,98,0.043478,0.038782,False,True,False
88,V1_R_wid,0.000000,0.000000,0,0.043478,0.038857,100,0.043478,0.038857,False,True,False
260,V5_Q_amp,0.000000,0.000000,0,0.041667,0.041667,1,0.041667,0.041667,False,True,False
34,DII_Diph_R,0.000000,0.000000,0,0.041667,0.040598,3,0.041667,0.040598,False,True,False
29,DII_S_wid,0.000000,0.000000,0,0.041667,0.041667,1,0.041667,0.041667,False,True,False
263,V5_Rp_amp,0.000000,0.000000,0,0.040000,0.040000,2,0.040000,0.040000,False,True,False
207,AVL_QRSA,0.000000,0.000000,0,0.040000,0.040000,1,0.040000,0.040000,False,True,False
246,V3_T_amp,0.235294,0.224546,90,0.208333,0.191166,105,0.026961,0.033380,False,False,False
235,V2_P_amp,0.176471,0.165540,87,0.200000,0.093353,105,0.023529,0.072187,False,False,False
239,V3_JJ_amp,0.176471,0.176471,2,0.190476,0.153184,105,0.014006,0.023287,False,False,False
70,AVL_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
71,AVL_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
72,AVL_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
73,AVL_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
74,AVL_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
76,AVF_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
78,AVF_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
79,AVF_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
81,AVF_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
82,AVF_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
83,AVF_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
84,AVF_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
85,AVF_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
86,AVF_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
87,V1_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
91,V1_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
93,V1_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
94,V1_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
95,V1_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
96,V1_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
97,V1_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
98,V1_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
101,V2_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
103,V2_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
105,V2_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
106,V2_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
107,V2_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
108,V2_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
109,V2_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
110,V2_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
112,V3_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
113,V3_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
114,V3_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
115,V3_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
116,V3_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
117,V3_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
118,V3_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
119,V3_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
120,V3_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
121,V3_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
122,V3_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
123,V4_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
124,V4_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
126,V4_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
127,V4_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
128,V4_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
129,V4_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
130,V4_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
131,V4_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
132,V4_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
133,V4_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
134,V4_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
135,V5_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
136,V5_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
137,V5_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
138,V5_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
